origin,development,lag,claim,premium
2010/03/31,2010/03/31,0,2013.946441,25728.2402
2010/03/31,2010/06/30,1,3924.798392,25728.2402
2010/03/31,2010/09/30,2,6027.319135,25728.2402
2010/03/31,2010/12/31,3,6476.875283,25728.2402
2010/03/31,2011/03/31,4,5624.078779,25728.2402
2010/03/31,2011/06/30,5,5159.316543,25728.2402
2010/03/31,2011/09/30,6,5213.851529,25728.2402
2010/03/31,2011/12/31,7,6240.692643,25728.2402
2010/03/31,2012/03/31,8,6705.35025,25728.2402
2010/03/31,2012/06/30,9,6716.243297,25728.2402
2010/03/31,2012/09/30,10,7373.267224,25728.2402
2010/03/31,2012/12/31,11,7695.745579,25728.2402
2010/03/31,2013/03/31,12,9011.246614,25728.2402
2010/03/31,2013/06/30,13,9229.502811,25728.2402
2010/03/31,2013/09/30,14,8408.513538,25728.2402
2010/03/31,2013/12/31,15,8448.179574,25728.2402
2010/03/31,2014/03/31,16,8824.216376,25728.2402
2010/03/31,2014/06/30,17,9202.496891,25728.2402
2010/03/31,2014/09/30,18,9388.457588,25728.2402
2010/03/31,2014/12/31,19,9349.686712,25728.2402
2010/06/30,2010/06/30,0,2531.220834,25975.3502
2010/06/30,2010/09/30,1,4102.412015,25975.3502
2010/06/30,2010/12/31,2,3674.700088,25975.3502
2010/06/30,2011/03/31,3,3868.18245,25975.3502
2010/06/30,2011/06/30,4,4796.172364,25975.3502
2010/06/30,2011/09/30,5,6866.351106,25975.3502
2010/06/30,2011/12/31,6,6072.077117,25975.3502
2010/06/30,2012/03/31,7,6013.984744,25975.3502
2010/06/30,2012/06/30,8,5986.455679,25975.3502
2010/06/30,2012/09/30,9,5787.881369,25975.3502
2010/06/30,2012/12/31,10,5951.207315,25975.3502
2010/06/30,2013/03/31,11,5957.566436,25975.3502
2010/06/30,2013/06/30,12,6047.884556,25975.3502
2010/06/30,2013/09/30,13,6064.741458,25975.3502
2010/06/30,2013/12/31,14,5876.618428,25975.3502
2010/06/30,2014/03/31,15,5969.354642,25975.3502
2010/06/30,2014/06/30,16,5986.537057,25975.3502
2010/06/30,2014/09/30,17,5997.383602,25975.3502
2010/06/30,2014/12/31,18,5766.676548,25975.3502
2010/09/30,2010/09/30,0,2373.056588,24954.4902
2010/09/30,2010/12/31,1,4426.390053,24954.4902
2010/09/30,2011/03/31,2,7274.148638,24954.4902
2010/09/30,2011/06/30,3,6513.62333,24954.4902
2010/09/30,2011/09/30,4,6699.130635,24954.4902
2010/09/30,2011/12/31,5,7062.867711,24954.4902
2010/09/30,2012/03/31,6,7602.893111,24954.4902
2010/09/30,2012/06/30,7,7727.29705,24954.4902
2010/09/30,2012/09/30,8,7130.492953,24954.4902
2010/09/30,2012/12/31,9,7655.498271,24954.4902
2010/09/30,2013/03/31,10,7948.796747,24954.4902
2010/09/30,2013/06/30,11,8586.568929,24954.4902
2010/09/30,2013/09/30,12,9113.050679,24954.4902
2010/09/30,2013/12/31,13,7730.296416,24954.4902
2010/09/30,2014/03/31,14,7925.092455,24954.4902
2010/09/30,2014/06/30,15,8275.576519,24954.4902
2010/09/30,2014/09/30,16,8179.631681,24954.4902
2010/09/30,2014/12/31,17,7820.881922,24954.4902
2010/12/31,2010/12/31,0,3664.585946,24478.1902
2010/12/31,2011/03/31,1,6028.330549,24478.1902
2010/12/31,2011/06/30,2,5679.334543,24478.1902
2010/12/31,2011/09/30,3,5792.775683,24478.1902
2010/12/31,2011/12/31,4,5157.665729,24478.1902
2010/12/31,2012/03/31,5,5202.586468,24478.1902
2010/12/31,2012/06/30,6,4824.10832,24478.1902
2010/12/31,2012/09/30,7,4749.066041,24478.1902
2010/12/31,2012/12/31,8,5152.469153,24478.1902
2010/12/31,2013/03/31,9,5240.392431,24478.1902
2010/12/31,2013/06/30,10,5260.829972,24478.1902
2010/12/31,2013/09/30,11,5360.622834,24478.1902
2010/12/31,2013/12/31,12,5261.911138,24478.1902
2010/12/31,2014/03/31,13,5605.582689,24478.1902
2010/12/31,2014/06/30,14,5472.92468,24478.1902
2010/12/31,2014/09/30,15,5358.541878,24478.1902
2010/12/31,2014/12/31,16,6050.686289,24478.1902
2011/03/31,2011/03/31,0,3685.244371,23899.4402
2011/03/31,2011/06/30,1,6009.229935,23899.4402
2011/03/31,2011/09/30,2,6655.209685,23899.4402
2011/03/31,2011/12/31,3,5535.06271,23899.4402
2011/03/31,2012/03/31,4,6291.728368,23899.4402
2011/03/31,2012/06/30,5,6971.88694,23899.4402
2011/03/31,2012/09/30,6,6792.68063,23899.4402
2011/03/31,2012/12/31,7,6362.015838,23899.4402
2011/03/31,2013/03/31,8,6510.12407,23899.4402
2011/03/31,2013/06/30,9,6456.658626,23899.4402
2011/03/31,2013/09/30,10,6734.030235,23899.4402
2011/03/31,2013/12/31,11,6836.148187,23899.4402
2011/03/31,2014/03/31,12,7816.882767,23899.4402
2011/03/31,2014/06/30,13,8117.493651,23899.4402
2011/03/31,2014/09/30,14,8601.71689,23899.4402
2011/03/31,2014/12/31,15,8508.050641,23899.4402
2011/06/30,2011/06/30,0,5623.509132,21730.2502
2011/06/30,2011/09/30,1,9330.190833,21730.2502
2011/06/30,2011/12/31,2,8640.313384,21730.2502
2011/06/30,2012/03/31,3,7675.807932,21730.2502
2011/06/30,2012/06/30,4,7066.06471,21730.2502
2011/06/30,2012/09/30,5,6535.025784,21730.2502
2011/06/30,2012/12/31,6,7004.298695,21730.2502
2011/06/30,2013/03/31,7,6964.644285,21730.2502
2011/06/30,2013/06/30,8,7006.577283,21730.2502
2011/06/30,2013/09/30,9,7243.748086,21730.2502
2011/06/30,2013/12/31,10,7123.773443,21730.2502
2011/06/30,2014/03/31,11,7118.960507,21730.2502
2011/06/30,2014/06/30,12,7294.074659,21730.2502
2011/06/30,2014/09/30,13,7250.979116,21730.2502
2011/06/30,2014/12/31,14,6981.222177,21730.2502
2011/09/30,2011/09/30,0,6359.527992,15231.7602
2011/09/30,2011/12/31,1,8484.695112,15231.7602
2011/09/30,2012/03/31,2,9147.194626,15231.7602
2011/09/30,2012/06/30,3,6628.157263,15231.7602
2011/09/30,2012/09/30,4,6883.138256,15231.7602
2011/09/30,2012/12/31,5,6989.906388,15231.7602
