origin,development,lag,claim,premium
2010/03/31,2010/03/31,0,15885.64381,51346.66641
2010/03/31,2010/06/30,1,25177.51136,51346.66641
2010/03/31,2010/09/30,2,26571.78973,51346.66641
2010/03/31,2010/12/31,3,25520.48766,51346.66641
2010/03/31,2011/03/31,4,25047.47172,51346.66641
2010/03/31,2011/06/30,5,25025.26462,51346.66641
2010/03/31,2011/09/30,6,24961.98862,51346.66641
2010/03/31,2011/12/31,7,24447.97496,51346.66641
2010/03/31,2012/03/31,8,24411.81725,51346.66641
2010/03/31,2012/06/30,9,24305.19471,51346.66641
2010/03/31,2012/09/30,10,24305.07608,51346.66641
2010/03/31,2012/12/31,11,24285.31271,51346.66641
2010/03/31,2013/03/31,12,24201.01589,51346.66641
2010/03/31,2013/06/30,13,24159.40131,51346.66641
2010/03/31,2013/09/30,14,24170.83702,51346.66641
2010/03/31,2013/12/31,15,24108.41514,51346.66641
2010/03/31,2014/03/31,16,24096.95571,51346.66641
2010/03/31,2014/06/30,17,24096.95571,51346.66641
2010/03/31,2014/09/30,18,24096.95571,51346.66641
2010/03/31,2014/12/31,19,24096.95571,51346.66641
2010/06/30,2010/06/30,0,18399.93339,53877.27641
2010/06/30,2010/09/30,1,24209.50963,53877.27641
2010/06/30,2010/12/31,2,22952.86308,53877.27641
2010/06/30,2011/03/31,3,22781.44611,53877.27641
2010/06/30,2011/06/30,4,22709.81873,53877.27641
2010/06/30,2011/09/30,5,22939.48188,53877.27641
2010/06/30,2011/12/31,6,22276.51933,53877.27641
2010/06/30,2012/03/31,7,22394.64875,53877.27641
2010/06/30,2012/06/30,8,22331.79982,53877.27641
2010/06/30,2012/09/30,9,22614.84542,53877.27641
2010/06/30,2012/12/31,10,22614.84542,53877.27641
2010/06/30,2013/03/31,11,22614.75052,53877.27641
2010/06/30,2013/06/30,12,22614.75052,53877.27641
2010/06/30,2013/09/30,13,22614.75052,53877.27641
2010/06/30,2013/12/31,14,22593.94322,53877.27641
2010/06/30,2014/03/31,15,22590.24204,53877.27641
2010/06/30,2014/06/30,16,22592.40107,53877.27641
2010/06/30,2014/09/30,17,22592.40107,53877.27641
2010/06/30,2014/12/31,18,22592.40107,53877.27641
2010/09/30,2010/09/30,0,15765.26046,54577.09641
2010/09/30,2010/12/31,1,18859.94774,54577.09641
