origin,development,lag,claim,premium
1979,1979,0,3670,17684
1979,1980,1,5817,17684
1979,1981,2,6462,17684
1979,1982,3,6671,17684
1979,1983,4,6775,17684
1979,1984,5,7002,17684
1979,1985,6,7034,17684
1979,1986,7,7096,17684
1979,1987,8,7204,17684
1979,1988,9,7326,17684
1979,1989,10,7395,17684
1979,1990,11,7438,17684
1979,1991,12,7468,17684
1979,1992,13,7541,17684
1979,1993,14,7580,17684
1979,1994,15,7677,17684
1979,1995,16,7794,17684
1979,1996,17,7919,17684
1979,1997,18,8047,17684
1980,1980,0,4827,18762
1980,1981,1,7600,18762
1980,1982,2,8274,18762
1980,1983,3,8412,18762
1980,1984,4,9059,18762
1980,1985,5,9197,18762
1980,1986,6,9230,18762
1980,1987,7,9277,18762
1980,1988,8,9331,18762
1980,1989,9,9435,18762
1980,1990,10,9864,18762
1980,1991,11,9621,18762
1980,1992,12,9654,18762
1980,1993,13,9704,18762
1980,1994,14,9743,18762
1980,1995,15,9745,18762
1980,1996,16,9745,18762
1980,1997,17,9748,18762
1981,1981,0,7130,22056
1981,1982,1,10852,22056
1981,1983,2,11422,22056
1981,1984,3,12024,22056
1981,1985,4,12320,22056
1981,1986,5,12346,22056
1981,1987,6,12379,22056
1981,1988,7,12426,22056
1981,1989,8,12460,22056
1981,1990,9,12500,22056
1981,1991,10,12508,22056
1981,1992,11,12547,22056
1981,1993,12,12557,22056
1981,1994,13,12624,22056
1981,1995,14,12639,22056
1981,1996,15,12644,22056
1981,1997,16,12647,22056
1982,1982,0,9244,25489
1982,1983,1,13340,25489
1982,1984,2,13758,25489
1982,1985,3,13853,25489
1982,1986,4,13894,25489
1982,1987,5,13942,25489
1982,1988,6,13980,25489
1982,1989,7,14001,25489
1982,1990,8,14012,25489
1982,1991,9,14070,25489
1982,1992,10,14085,25489
1982,1993,11,14098,25489
1982,1994,12,14111,25489
1982,1995,13,14118,25489
1982,1996,14,14120,25489
1982,1997,15,14133,25489
1983,1983,0,10019,24819
1983,1984,1,14223,24819
1983,1985,2,15403,24819
1983,1986,3,15579,24819
1983,1987,4,15732,24819
1983,1988,5,15921,24819
1983,1989,6,16187,24819
1983,1990,7,16420,24819
1983,1991,8,16531,24819
1983,1992,9,16559,24819
1983,1993,10,16568,24819
1983,1994,11,16585,24819
1983,1995,12,16597,24819
1983,1996,13,16614,24819
1983,1997,14,16617,24819
1984,1984,0,9966,26887
1984,1985,1,14599,26887
1984,1986,2,15181,26887
1984,1987,3,15431,26887
1984,1988,4,15506,26887
1984,1989,5,15538,26887
1984,1990,6,15906,26887
1984,1991,7,16014,26887
1984,1992,8,16537,26887
1984,1993,9,16833,26887
1984,1994,10,16951,26887
1984,1995,11,17038,26887
1984,1996,12,17040,26887
1984,1997,13,17195,26887
1985,1985,0,10441,31782
1985,1986,1,15043,31782
1985,1987,2,15577,31782
1985,1988,3,15784,31782
1985,1989,4,15926,31782
1985,1990,5,16054,31782
1985,1991,6,16087,31782
1985,1992,7,16107,31782
1985,1993,8,16311,31782
1985,1994,9,16366,31782
1985,1995,10,16396,31782
1985,1996,11,16414,31782
1985,1997,12,16419,31782
1986,1986,0,10578,32585
1986,1987,1,15657,32585
1986,1988,2,16352,32585
1986,1989,3,16714,32585
1986,1990,4,17048,32585
1986,1991,5,17289,32585
1986,1992,6,17632,32585
1986,1993,7,17646,32585
1986,1994,8,17662,32585
1986,1995,9,17678,32585
1986,1996,10,17693,32585
1986,1997,11,17700,32585
1987,1987,0,11214,32726
1987,1988,1,16482,32726
1987,1989,2,17197,32726
1987,1990,3,17518,32726
1987,1991,4,18345,32726
1987,1992,5,18480,32726
1987,1993,6,18505,32726
1987,1994,7,18520,32726
1987,1995,8,18578,32726
1987,1996,9,18633,32726
1987,1997,10,18671,32726
1988,1988,0,11442,36372
1988,1989,1,17621,36372
1988,1990,2,18465,36372
1988,1991,3,18693,36372
1988,1992,4,18882,36372
1988,1993,5,18965,36372
1988,1994,6,20464,36372
1988,1995,7,20522,36372
1988,1996,8,20558,36372
1988,1997,9,20607,36372
1989,1989,0,11720,36873
1989,1990,1,17779,36873
1989,1991,2,18655,36873
1989,1992,3,18940,36873
1989,1993,4,19098,36873
1989,1994,5,19368,36873
1989,1995,6,19970,36873
1989,1996,7,20162,36873
1989,1997,8,20195,36873
1990,1990,0,13293,38938
1990,1991,1,20689,38938
1990,1992,2,21696,38938
1990,1993,3,22439,38938
1990,1994,4,22798,38938
1990,1995,5,23054,38938
1990,1996,6,23394,38938
1990,1997,7,23554,38938
1991,1991,0,15063,42109
1991,1992,1,22917,42109
1991,1993,2,23543,42109
1991,1994,3,24032,42109
1991,1995,4,24156,42109
1991,1996,5,24232,42109
1991,1997,6,24360,42109
1992,1992,0,16986,40818
1992,1993,1,23958,40818
1992,1994,2,25090,40818
1992,1995,3,25392,40818
1992,1996,4,25546,40818
1992,1997,5,26099,40818
1993,1993,0,16681,43180
1993,1994,1,24867,43180
1993,1995,2,25871,43180
1993,1996,3,26463,43180
1993,1997,4,26941,43180
1994,1994,0,17595,47061
1994,1995,1,25152,47061
1994,1996,2,26140,47061
1994,1997,3,27090,47061
1995,1995,0,16547,48428
1995,1996,1,25396,48428
1995,1997,2,26506,48428
1996,1996,0,15449,52565
1996,1997,1,22702,52565
1997,1997,0,18043,52728
